,zipcode,rideship
0,11693,0.0
1,10463,2416.0
2,10033,13459.0
3,11367,0.0
4,10472,14710.75
5,10037,0.0
6,10026,15864.75
7,10119,0.0
8,10044,964.5
9,10036,49899.25
10,10002,21274.75
11,10038,0.0
12,11206,28129.75
13,10275,0.0
14,10111,0.0
15,10022,16417.25
16,10043,0.0
17,10170,0.0
18,10112,0.0
19,10122,0.0
20,10107,0.0
21,10103,0.0
22,10081,0.0
23,10304,0.0
24,10169,0.0
25,10167,0.0
26,10177,0.0
27,10172,0.0
28,10310,0.0
29,11212,6507.0
30,10302,0.0
31,11096,0.0
32,11416,2030.25
33,10470,2827.5
34,10469,13028.0
35,10039,4571.75
36,10029,4499.75
37,10010,22714.25
38,11411,0.0
39,11040,0.0
40,10096,0.0
41,11220,10342.0
42,11225,10686.0
43,11209,2248.5
44,11228,2182.5
45,11372,7259.4375
46,11004,0.0
47,10305,0.0
48,11096,0.0
49,11223,19679.58333
50,11693,0.0
51,11693,0.0
52,11426,0.0
53,11365,0.0
54,11373,43359.875
55,11001,0.0
56,11375,29857.5
57,11427,0.0
58,11374,5974.25
59,11366,0.0
60,11423,0.0
61,11428,0.0
62,11432,15639.25
63,11379,9863.25
64,11429,0.0
65,11419,3931.5
66,11435,1838.25
67,11415,0.0
68,11418,1178.5
69,11433,19567.75
70,11451,0.0
71,11221,5736.5
72,11421,3757.0
73,10065,10844.5
74,11434,0.0
75,11216,19149.25
76,11233,19309.25
77,11436,0.0
78,10097,0.0
79,11213,20443.25
80,11218,1846.0
81,11226,28826.25
82,11219,10883.75
83,11210,8320.0
84,11230,8289.0
85,11204,17498.25
86,10471,0.0
87,10466,9016.0
88,10458,5516.75
89,10467,18238.5
90,10463,2416.0
91,11370,0.0
92,10475,0.0
93,10034,7356.0
94,10457,9687.25
95,10462,6637.25
96,10040,7044.0
97,11362,0.0
98,10464,0.0
99,10464,0.0
100,10031,17472.75
101,10468,19702.25
102,10453,11360.25
103,10456,0.0
104,10030,7791.5
105,10013,12715.25
106,10464,0.0
107,10461,8998.0
108,10455,20908.0
109,10460,10168.951613000001
110,10465,0.0
111,10032,14663.0
112,10452,29671.0
113,11103,2403.25
114,10459,10269.0
115,10024,0.0
116,10021,0.0
117,10451,8622.95
118,10035,0.0
119,10025,7079.5
120,10454,5933.5
121,10001,71945.0
122,10473,0.0
123,10027,30583.25
124,10474,0.0
125,10035,0.0
126,11357,0.0
127,00083,53272.5
128,10016,0.0
129,10014,11487.75
130,11363,0.0
131,11356,0.0
132,11359,0.0
133,11360,0.0
134,11105,4692.5
135,10128,5785.0
136,10075,0.0
137,11102,4129.0
138,10003,31521.0
139,11371,0.0
140,10023,18858.0
141,10028,28712.0
142,11354,19935.0
143,11361,0.0
144,11358,0.0
145,11369,0.0
146,11106,2269.75
147,10011,12298.0
148,11109,0.0
149,10006,2510.25
150,11368,11937.0
151,11104,10942.125
152,11377,14630.5
153,11355,0.0
154,11101,47513.0
155,11364,0.0
156,10018,2646.5
157,10020,0.0
158,11005,0.0
159,10017,26489.75
160,11222,5383.25
161,10173,0.0
162,11378,0.0
163,10009,4054.5
164,10012,6841.75
165,11412,0.0
166,10005,9872.5
167,11211,31870.5
168,10007,23785.5
169,11237,11944.75
170,11385,4407.0
171,11251,7551.5
172,10004,10604.5
173,11217,25532.002533
174,10196,0.0
175,11420,13208.5
176,11201,60555.25
177,10004,10604.5
178,11205,4002.75
179,11208,18981.431034
180,11231,0.0
181,11207,33916.25
182,10004,10604.5
183,10004,10604.5
184,11413,0.0
185,10196,0.0
186,11238,11293.0
187,11231,0.0
188,11422,0.0
189,10178,0.0
190,11417,6992.5
191,11215,4680.25
192,10069,0.0
193,10281,0.0
194,10282,0.0
195,11414,1894.75
196,11232,1567.75
197,10312,0.0
198,11694,259.5
199,11239,0.0
200,11430,3708.5
201,11203,0.0
202,10080,0.0
203,10203,0.0
204,11236,7306.0
205,10019,27330.0
206,10265,0.0
207,11214,1828.0
208,10171,0.0
209,10301,409.75
210,10154,0.0
211,10152,0.0
212,10270,0.0
213,10303,0.0
214,10153,0.0
215,10174,0.0
216,10166,0.0
217,10045,0.0
218,10047,0.0
219,10047,0.0
220,10306,0.0
221,11234,0.0
222,10259,0.0
223,10260,0.0
224,10285,0.0
225,10286,0.0
226,11693,0.0
227,11697,0.0
228,11692,2400.25
229,10314,0.0
230,11229,1757.0
231,10115,0.0
232,10123,0.0
233,10106,0.0
234,10158,0.0
235,11691,4623.5
236,10041,0.0
237,10120,0.0
238,10278,0.0
239,11235,6481.25
240,10104,0.0
241,10271,0.0
242,10110,0.0
243,10155,0.0
244,11370,0.0
245,11224,7706.5
246,10308,0.0
247,10175,0.0
248,10151,0.0
249,10121,0.0
250,10309,0.0
251,10307,0.0
252,10280,0.0
253,10048,13825.25
254,10279,0.0
255,10165,0.0
256,10168,0.0
257,10055,0.0
258,10105,0.0
259,10118,0.0
260,10176,0.0
261,10162,0.0
