103 ST,27482
103 ST-CORONA,19792
104 ST,3946
110 ST,9359
111 ST,15484.5
116 ST,29344
116 ST-COLUMBIA,16178
121 ST,2137
125 ST,70413.5
135 ST,18346.5
137 ST CITY COL,12935.75
138/GRAND CONC,2038
145 ST,34919
149/GRAND CONC,12838
14 ST,56278
14 ST-UNION SQ,94856
14TH STREET,9361.5
155 ST,5843.25
157 ST,9038.5
15 ST-PROSPECT,5458
161/YANKEE STAD,19709
163 ST-AMSTERDM,4375.75
167 ST,14759
168 ST,22857
169 ST,7847
170 ST,13788.25
174-175 STS,5029
174 ST,4481.375
175 ST,12626
176 ST,4902
181 ST,22386.25
182-183 STS,3209
183 ST,5110
18 AV,14478.75
18 ST,7695
190 ST,2844
191 ST,1375
1 AV,14407.13953
207 ST,5144
20 AV,8363
215 ST,1593
219 ST,2967.75
21 ST,1613.75
21 ST-QNSBRIDGE,10490
225 ST,3513.25
231 ST,8815
233 ST,4830.5
238 ST,4165.25
23 ST,119883.25
25 AV,4487
25 ST,3559
28 ST,48262.25
2 AV,15716
30 AV,14273
33 ST,26468.75
33 ST-RAWSON ST,9782
34 ST-HERALD SQ,113452
34 ST-HUDSON YD,20610.64286
34 ST-PENN STA,158435.6364
36 AV,6245
36 ST,17780.5
39 AV,3115
3 AV,6527
3 AV 138 ST,6369.25
3 AV-149 ST,19558
40 ST LOWERY ST,9321
42 ST-BRYANT PK,43745
42 ST-PORT AUTH,88234.5
45 ST,7058
46 ST,8269
46 ST BLISS ST,12396
47-50 STS ROCK,60868
49 ST,22744
4 AV-9 ST,3485
4AV-9 ST,8760
50 ST,46353
51 ST,20594
52 ST,6304.25
53 ST,8713
55 ST,2124
57 ST,14815.75
57 ST-7 AV,35285
59 ST,60829
59 ST COLUMBUS,71016
5 AV/53 ST,26912
5 AV/59 ST,14992
5 AVE,14288
61 ST WOODSIDE,14720.75
63 DR-REGO PARK,15443
65 ST,3269.75
66 ST-LINCOLN,20212
67 AV,8555
68ST-HUNTER CO,25124.75
69 ST,4764
6 AV,2353
71 ST,5146
72 ST,40729.5
72 ST-2 AVE,31564.5
74 ST-BROADWAY,2761.5
75 AV,3444
75 ST-ELDERTS,3263
77 ST,30363.125
79 ST,19607.25
7 AV,38143.5
80 ST,4094.75
81 ST-MUSEUM,11911.75
82 ST-JACKSON H,14496
85 ST-FOREST PK,3695
86 ST,81151.25
86 ST-2 AVE,25764
88 ST,2845.75
8 AV,32160
8 ST-NYU,18282
90 ST-ELMHURST,16122
96 ST,58417.5
