STATION,lines,latitude,longitude,zipcode,state,borough,neighborhood
AVENUE J,BQ,40.625028,-73.960819,11230,NY,Brooklyn,Borough Park
AVENUE M,BQ,40.617568,-73.95936,11230,NY,Brooklyn,Borough Park
AVENUE N,F,40.615173999999996,-73.974166,11230,NY,Brooklyn,Borough Park
AVENUE P,F,40.609147,-73.97298599999999,11223,NY,Brooklyn,Southern Brooklyn
AVENUE U,BQ,40.599307,-73.955916,11223,NY,Brooklyn,Southern Brooklyn
AVENUE U,F,40.596065,-73.973329,11223,NY,Brooklyn,Southern Brooklyn
AVENUE U,N,40.597482,-73.979359,11223,NY,Brooklyn,Southern Brooklyn
AVENUE X,F,40.589546999999996,-73.974295,11223,NY,Brooklyn,Southern Brooklyn
B'WAY-LAFAYETTE,6BDFQ,40.725297,-73.996204,10012,NY,Manhattan,Greenwich Village and Soho
BAY 50 ST,D,40.588879,-73.98362900000001,11224,NY,Brooklyn,Southern Brooklyn
BAY PKWY,D,40.601898,-73.993821,11214,NY,Brooklyn,Southwest Brooklyn
BAY PKWY,F,40.620907,-73.975453,11230,NY,Brooklyn,Borough Park
BAY PKWY,N,40.612006,-73.98200899999999,11204,NY,Brooklyn,Borough Park
BAY RIDGE AV,R,40.634945,-74.023411,11220,NY,Brooklyn,Sunset Park
BAY RIDGE-95 ST,R,40.616624,-74.030964,11209,NY,Brooklyn,Southwest Brooklyn
BAYCHESTER AV,5,40.878656,-73.838596,10475,NY,Bronx,Northeast Bronx
BEACH 105 ST,AS,40.583542,-73.82643,11694,NY,Queens,Rockaways
BEACH 25 ST,A,40.600138,-73.76151999999999,11691,NY,Queens,Rockaways
BEACH 36 ST,A,40.595381,-73.768194,11691,NY,Queens,Rockaways
BEACH 44 ST,A,40.593214,-73.776433,11691,NY,Queens,Rockaways
BEACH 60 ST,A,40.592334,-73.788493,11692,NY,Queens,Rockaways
BEACH 67 ST,A,40.590866999999996,-73.797011,11692,NY,Queens,Rockaways
BEACH 90 ST,AS,40.588032,-73.813684,11692,NY,Queens,Rockaways
BEACH 98 ST,AS,40.585514,-73.820143,11692,NY,Queens,Rockaways
BEDFORD AV,L,40.717240999999994,-73.956614,11211,NY,Brooklyn,Greenpoint
BEDFORD PK BLVD,4,40.873399,-73.890084,10468,NY,Bronx,Bronx Park and Fordham
BEDFORD PK BLVD,BD,40.873026,-73.88691899999999,10468,NY,Bronx,Bronx Park and Fordham
BEDFORD-NOSTRAN,G,40.689636,-73.953459,11216,NY,Brooklyn,Central Brooklyn
BERGEN ST,23,40.680801,-73.97513199999999,11217,NY,Brooklyn,Northwest Brooklyn
BERGEN ST,FG,40.686153999999995,-73.990881,11231,NY,Brooklyn,Northwest Brooklyn
BEVERLEY ROAD,BQ,40.643982,-73.96451,11226,NY,Brooklyn,Flatbush
BEVERLY RD,25,40.645089,-73.948975,11226,NY,Brooklyn,Flatbush
BLEECKER ST,6DF,40.725665,-73.995645,10012,NY,Manhattan,Greenwich Village and Soho
BOROUGH HALL,2345R,40.692403999999996,-73.990151,11201,NY,Brooklyn,Northwest Brooklyn
BOTANIC GARDEN,2345S,40.670499,-73.958759,11238,NY,Brooklyn,Central Brooklyn
BOWERY,JZ,40.720315,-73.994014,10002,NY,Manhattan,Lower East Side
BOWLING GREEN,45,40.704782,-74.014099,10280,NY,Manhattan,Lower Manhattan
BRIARWOOD,EF,40.709174,-73.820593,11415,NY,Queens,Southwest Queens
BRIGHTON BEACH,BQ,40.577961,-73.96180600000001,11235,NY,Brooklyn,Southern Brooklyn
BROAD CHANNEL,AS,40.608693,-73.816068,11693,NY,Queens,Rockaways
BROAD ST,JZ,40.706539,-74.011052,10271,NY,Manhattan,-
BROADWAY,G,40.7061,-73.95034799999999,11211,NY,Brooklyn,Greenpoint
BROADWAY,NQW,40.761959000000004,-73.925382,11102,NY,Queens,Northwest Queens
BROADWAY JCT,ACJLZ,40.678847999999995,-73.904139,11207,NY,Brooklyn,East New York and New Lots
BRONX PARK EAST,25,40.848797,-73.868465,10460,NY,Bronx,Central Bronx
BROOK AV,6,40.808044,-73.919234,10454,NY,Bronx,Hunts Point and Mott Haven
