Station,Name,Borough,Latitude,Longitude
CITY HALL,City Hall,Manhattan,40.713282,-74.006978
CLARK ST,Clark St,Brooklyn,40.697466,-73.993086
CLASSON AV,Classon Av,Brooklyn,40.688873,-73.96007
CLEVELAND ST,Cleveland St,Brooklyn,40.679947,-73.884639
CLINTON-WASH AV,Clinton - Washington Avs,Brooklyn,40.685676,-73.9663385
CONEY IS-STILLW,Coney Island - Stillwell Av,Brooklyn,40.577422,-73.981233
CORTELYOU RD,Cortelyou Rd,Brooklyn,40.640927,-73.963891
CORTLANDT ST,Cortlandt St,Manhattan,40.710668,-74.011029
COURT SQ,Court Sq,Queens,40.747141,-73.945032
COURT SQ-23 ST,Court Sq -23 St,,40.747257,-73.945112
CRESCENT ST,Crescent St,Brooklyn,40.683194,-73.873785
CROWN HTS-UTICA,Crown Hts - Utica Av,Brooklyn,40.668897,-73.932942
CYPRESS AV,Cypress Av,Bronx,40.805368,-73.914042
CYPRESS HILLS,Cypress Hills,Brooklyn,40.689941,-73.87255
DEKALB AV,DeKalb Av,Brooklyn,40.697223,-73.9501245
DELANCEY/ESSEX,Delancey St,Manhattan,40.718611,-73.988114
DITMAS AV,Ditmas Av,Brooklyn,40.636119,-73.978172
DYCKMAN ST,Dyckman St,Manhattan,40.863011,-73.9264035
E 143/ST MARY'S,E 143 St - St Mary's St,Bronx,40.808719,-73.907657
E 149 ST,E 149 St,Bronx,40.812118,-73.904098
E 180 ST,E 180 St,Bronx,40.841894,-73.873488
EAST 105 ST,E 105 St,Brooklyn,40.650573,-73.899485
EAST BROADWAY,East Broadway,Manhattan,40.713715,-73.990173
EASTCHSTER/DYRE,Eastchester - Dyre Av,Bronx,40.8883,-73.830834
EASTN PKWY-MUSM,Eastern Pkwy - Brooklyn Museum,Brooklyn,40.671987,-73.964375
ELDER AV,Elder Av,Bronx,40.828584,-73.879159
ELMHURST AV,Elmhurst Av,Queens,40.742454,-73.882017
EUCLID AV,Euclid Av,Brooklyn,40.675377,-73.872106
EXCHANGE PLACE,Exchange Place,,40.716737,-74.033024
FAR ROCKAWAY,Far Rockaway - Mott Av,Queens,40.603995,-73.755405
FLATBUSH AV-B.C,Flatbush Av - Brooklyn College,Brooklyn,40.632836,-73.947642
FLUSHING AV,Flushing Av,Brooklyn,40.7003185,-73.94568
FLUSHING-MAIN,Flushing - Main St,Queens,40.7596,-73.83003
FORDHAM RD,Fordham Rd,Bronx,40.8620495,-73.8993915
FOREST AVE,Forest Av,Queens,40.704423,-73.903077
FOREST HILLS 71,Forest Hills - 71 Av,Queens,40.721691,-73.844521
FRANKLIN AV,Franklin Av,Brooklyn,40.67755267,-73.95693533
FRANKLIN ST,Franklin St,Manhattan,40.719318,-74.006886
FREEMAN ST,Freeman St,Bronx,40.829993,-73.891865
FRESH POND RD,Fresh Pond Rd,Queens,40.706186,-73.895877
FT HAMILTON PKY,Fort Hamilton Pkwy,Brooklyn,40.64102733,-73.99181033
